start,end,seconds,app,title,state,key_presses,mouse_clicks
2026-05-08 22:00:29,2026-05-08 22:00:39,10,explorer.exe,自动检测 - 文件资源管理器,active,0,0
2026-05-08 22:00:48,2026-05-08 22:00:53,5,explorer.exe,自动检测 - 文件资源管理器,active,0,0
2026-05-08 22:00:53,2026-05-08 22:01:03,10,Code.exe,自动检测 - Visual Studio Code,active,0,0
2026-05-08 22:01:03,2026-05-08 22:01:08,5,explorer.exe,自动检测 - 文件资源管理器,active,0,0
2026-05-08 22:01:08,2026-05-08 22:01:28,20,Typora.exe,README.md - Typora,active,0,0
2026-05-08 22:01:28,2026-05-08 22:01:33,5,explorer.exe,自动检测 - 文件资源管理器,active,0,0
2026-05-08 22:01:33,2026-05-08 22:01:48,15,Code.exe,简历 - Visual Studio Code,active,0,0
2026-05-08 22:01:48,2026-05-08 22:01:53,5,explorer.exe,自动检测 - 文件资源管理器,active,0,0
2026-05-08 22:01:53,2026-05-08 22:01:58,5,WindowsTerminal.exe,C:\WINDOWS\system32\cmd.exe,active,0,0
2026-05-08 22:02:35,2026-05-08 22:02:45,10,explorer.exe,自动检测 - 文件资源管理器,active,0,0
2026-05-08 22:02:45,2026-05-08 22:03:45,60,Code.exe,work_tracker.py - 自动检测 - Visual Studio Code,active,0,0
2026-05-08 22:03:45,2026-05-08 22:04:15,30,ChatGPT.exe,Claude.md 及类似文件,active,0,0
2026-05-08 22:04:15,2026-05-08 22:05:10,55,Code.exe,work_tracker.py - 自动检测 - Visual Studio Code,active,0,0
2026-05-08 22:05:10,2026-05-08 22:05:20,10,msedge.exe,~ 和另外 1 个页面 - 个人 - Microsoft​ Edge,active,0,0
2026-05-08 22:05:20,2026-05-08 22:05:30,10,msedge.exe,Codex 和另外 1 个页面 - 个人 - Microsoft​ Edge,active,0,0
2026-05-08 22:05:30,2026-05-08 22:05:35,5,Code.exe,work_tracker.py - 自动检测 - Visual Studio Code,active,0,0
2026-05-08 22:05:35,2026-05-08 22:05:45,10,Code.exe,简历 - Visual Studio Code,active,0,0
2026-05-08 22:05:45,2026-05-08 22:06:10,25,Code.exe,陈卓远_升学辅导海报.png - 简历 - Visual Studio Code,active,0,0
2026-05-08 22:06:10,2026-05-08 22:06:35,25,Code.exe,简历czy.md - 简历 - Visual Studio Code,active
2026-05-08 22:06:35,2026-05-08 22:06:50,15,Code.exe,陈卓远_升学辅导海报.png - 简历 - Visual Studio Code,active
2026-05-08 22:06:50,2026-05-08 22:06:55,5,Code.exe,合照.png - 简历 - Visual Studio Code,active
2026-05-08 22:06:55,2026-05-08 22:07:36,41,Code.exe,简历czy.md - 简历 - Visual Studio Code,active
2026-05-08 22:15:54,2026-05-08 22:16:04,10,explorer.exe,自动检测 - 文件资源管理器,active,0,5
2026-05-08 22:16:04,2026-05-08 22:16:15,11,Typora.exe,README.md - Typora,active,3,3
2026-05-08 22:16:15,2026-05-08 22:18:35,140,Code.exe,work_tracker.py - 自动检测 - Visual Studio Code,active,67,4
2026-05-08 22:18:35,2026-05-08 22:18:40,5,explorer.exe,,active,0,4
2026-05-08 22:18:40,2026-05-08 22:18:45,5,explorer.exe,自动检测 - 文件资源管理器,active,0,5
2026-05-08 22:18:45,2026-05-08 22:18:50,5,ShellExperienceHost.exe,Typora 的跳转列表,active,0,3
2026-05-08 22:18:50,2026-05-08 22:18:55,5,Typora.exe,README.md - Typora,active,0,3
